lause|form|classification
“ Kui Ingridil tema kodus väikelinnas külas käisin , siis tuli mööda koridore hiilida ja hoiduda sellest , et äkki keegi näeb .|Ingridil|NONE
Tema ja Jõepere perenaisega koos käisite Moorasaares röövimas , temaga koos varastasite Paalipere heinaküüni tühjaks , temaga koos varastasite ka Nigula ja Õllepoe Augusti hobuse , temaga koos murdsite Vaherpõllu Jüri viljaaita sisse , temaga ja Mõrdoja vennastega koos mõrvasite ka Sudisoo metsavahi , kui ta teile põrdajahil peale sattus ning kõige viimane – ja ma usun , et see ka tõesti kõige viimaseks jääb , sest rohkem kuritegusid toime panna pole teil enam võimalik – mõrvasite Liivamäe Marie .|Moorasaares|LOC
Kadri Mälk käis Kölnis tänapäeva ehtekunsti aastasündmusel “ Ars Ornata Europeana ” , mille põhinäitus kandis nime “ Ausõna ” .|Kölnis|LOC
Kalju Kotkas ja vanaema istuvad viimasel muulikivil .|muulikivil|LOC
"""“ Teinekord istus Transitis üks tüdruk nö ametlikult , kaks oli peidetud pakkide ja tekkide alla , ” räägib uurimist teostav piirivalveametnik ."|Transitis|"LOC"""
"""Kui aga jutt käib turvavööst , uste turvataladest või turvapadjast , on vilunumadki kihutajad autotootjatega üht meelt : need asjad peavad olema ja neid tuleb kasutada ."|turvavööst|"LOC"""
Kannatlikult seletas soomlanna eesti keeles ametnikule , milline lahter käib tuberkuloosi , milline vaimuhaiguste kohta .|tuberkuloosi|NONE
"""Ükskord , kui me jälle "" saalitoas "" istusime , juttu puhusime ja makilt uusi lugusid kuulasime , ulatas ta mulle paberilehe ."|saalitoas|"LOC"""
"Tol õhtul istusin "" Pegasuses "" , kus kolmapäevaõhtuti — tõesti , tõesti , oli vist kolmapäev ? !"|Pegasuses|LOC
Istume kaldarinnatisele jäätis sööma .|kaldarinnatisele|LOC
"Pole ma elueas nende juures käinud , pole enne surma ka enam vaja , "" arvas ta ning sulges silmad ."|elueas|NONE
"""Istu siis oma sitas , "" sisistasin ."|sitas|"NONE"""
"""Varem käis ta teistele pruutidele peldikust helistamas , aga see oli kuulda , ja ma hakkasin ka demonstratiivselt peldikust helistamas käima , nüüd ma ei tea , kust ta neile helistab ."|pruutidele|"NONE"""
Käinud korduvalt Barcelona pornomessil ning poseerinud erootika-ajakirjadele .|pornomessil|NONE
Istusime sõpradega jõekäärus , tegime šašlõkki ja jõime õlut .|jõekäärus|LOC
Staadionile sõiduks bussi oodates astusid sportlased ABC televisioonistaapi ja nägid ... meeste 100 m jooksjaid finisheerimas !|televisioonistaapi|LOC
Guido Sammelselja  poolt juhitud Tallinna Pangast liikus raha kergekäeliselt tema äripartnerile ja onupojale Jaak Roosipuule .|äripartnerile|NONE
Mitmetes performance'ites loodi metafoore inimelule -- näiteks  Maija Hirvanen  ja  Leena Kala  otsisid teineteist kinniseotud silmadega , käies pimesi mööda hiigelsuurt linnuse vallikraavi ;  Jüri Ojaver  kõndis keset autoteed , tähelepanu keskendunud vesiloodile , püüdes säilitada sisemist tasakaalu keset ümberringi keevat liiklust ( see töö osutus kollase ajakirjanduse tõmbenumbriks , kuigi festivalil jäi ta võimsamate esituste varju ) ; lätlane  Olegs Tilbergs  lasi toidupoe üleni suitsu täis , sest kus on õhk läbipaistmatu , sealt on kerge varastada ; Steina Vasulka , juba aastates daam , demonstreeris “ Viiuli väes ” , mida viiul võib teha -- manipuleerida videopilti ja panna näiteks oma pilli järgi tantsima kurja näoga mehe ( nimelt oli ses enamikule meeldinud etenduses viiul ühendatud arvutiga ning iga poognatõmme tõi muutuse ekraanil näha olevasse tegevusse ) .|vesiloodile|NONE
Nimelt kõndis eelmine laulja pohmas peaga mööda tänavat .|pohmas|NONE
Ilmar Laaban käis Westbergi-eraalgkoolis , hiljem reaalgümnaasiumis .|Westbergi-eraalgkoolis|LOC
Ilmar Laaban käis Westbergi-eraalgkoolis , hiljem reaalgümnaasiumis .|reaalgümnaasiumis|LOC
Kastid olnud suured ja tammepuust ja mehed käinud raamvankriga kaks korda järel .|tammepuust|NONE
Maailma moeäris liiguvad meie mastaabis tohutud rahad .|moeäris|NONE
Astume väiksesse , madalasse kalurimajakesse , mis asub kohe kalatsehhi kõrval .|kalurimajakesse|LOC
Igor Gordini  ürgse stilisatsiooniga hiigelformaadis lito “ Ohverdamine ” vastas jooksis non-stop screening'una  Kristin Kalamehe  ja  Allan Tõnissoo  ekspressionistlik tantsuvideo “ Behave in Cave ” ( kaamera Ly Lestberg ) .|hiigelformaadis|NONE
Parajasti kui ta saunatrepil istus ja oma olukorra üle mõtteid mõlgutas , tuli koplist heinaküüni poolt pikk meesterahvas ning sammus kastemärjas rohus toa poole .|saunatrepil|LOC
Kord jäi eit paariks päevaks sängi ja siis juhtusin ma poolkogemata nägema hoopis imelikku pilti : eit pikutas teki all ja Enn-Aksel istus ta jalgotsis .|jalgotsis|LOC
Ta polnud tarvitsenud seda märkida , juba kolmandat aastat ei lahkunud Marty hetkekski oma koldist .|koldist|LOC
Ja mõned neist istusid ka hooajalõpu eileõhtuses peolauas .|peolauas|LOC
Estrada astus Foogtile lähemale , võttis ta käest kinni .|Foogtile|NONE
"""Mingi paaritusmäng käib vä ? "" olin karm ."|vä|"NONE"""
“ Minu kannatustele sai kuhi pääle juba siis , kui sa minu mehega puhmastes käisid . ”|puhmastes|LOC
Istusin kaldal vedelevale autokummile ja hakkasin sööma .|autokummile|LOC
"""Ta ütles : "" Istun Wilde'is koos ... ühe majanaabriga . """|Wilde'is|"LOC"""
Teises istus maani purjus Venemaalt pärit hobusevaras ja kolmandas tohtuvõitu kolhoosi lauda öövalvur .|Teises|LOC
Nüüd ma siis istusin oma üüritud kaupmeheelamus kamina ees , vaatasin tuleleeki ja kuulasin vihma plõksumist vastu katuseplekki .|kaupmeheelamus|LOC
Siis on neil pärjad peas ja nad ise usuvad , et nende keskel tulepaistel liiguvad kummalised haldjad , kes lähevad hiljem laande tagasi .|tulepaistel|NONE
Mõned minutid enne keskpäeva astus luurerühm Suur-Pakri saarelt neljateistkümnekraa disesse vette .|disesse|NONE
Dmitri Domani ( 19,6 punkti mängus ) jooksis koos eestlasega platsile hooaja alguses Moskva Dinamos , Eddie Shannon ( 19,4 ) aga detsembrist saati Permi Ural-Greatis .|Dinamos|LOC
Männiku varjupaigas käib kolm korda nädalas kodututele omaalgatuslikult toitu jagamas Oleviste kiriku koguduse liige Milvi Aaslaid , raha selleks kogutakse annetajatelt .|kodututele|NONE
Pavel istub katuseserva paigaldatud ridval .|ridval|LOC
Siis kuulis Mare Oherjus , et diakooniamajas käib koos mingi eakate naiste võimlemisrühm .|diakooniamajas|LOC
Vihmavarjudega lumesajus ringi liikunud türilased olid rõõmsad , et talv juba kätte jõuab , sest ega siis kevadki enam mägede taga ole .|lumesajus|LOC
Õhtul käisime matkamajas tutvumisõhtul ja kuulsaalis bowlingut ja piljardit mängimas .|tutvumisõhtul|NONE
Metzis käinud abituriendile Triin Fedotovale , kes oli üks kahest valgalaste gruppi kuulunud ja üks kahekümnest väljastpoolt Prantsusmaad tulnud õpilasest , jättis külastuse käigus kuuldu , nähtu ja tehtu vahva mulje .|Metzis|LOC
"""Eeldasin , et vajalikud dokumendid on korrektselt vormistatud , ” meenutab tänaseks HETAst lahkunud Paulus ."|HETAst|"NONE"""
Istun hetkel Aeronil ja see tunne on taevalik .|Aeronil|NONE
Laul järgib traditsioonilist eurolaulu standardit , Sandra on ilus , tal on häält , liigub rütmikalt , laulu lõpus liitub temaga ka saategrupp .|rütmikalt|NONE
Möödunud aastal tegime sõpradega kaasa ka paraadi Lätti , aasta varem käisime Dixielandis .|Dixielandis|LOC
Talleggi lindlas käib parasjagu noorlindude kaalumine .|lindlas|LOC
Punktiarvestus käis kümnepallisüsteemis .|kümnepallisüsteemis|NONE
Ta istus Balti jaamas busside lõpp-peatuses aktsiaseltsile Harjumaa Liinid kuuluvasse Ikarus-bussi .|Ikarus-bussi|LOC
“ Nad on kunagises telefonivabrikus paar korda erastamisvõimalusi vaatamas käinud , kuid ei ole sellest praegu huvitatud , ” ütles Veiko Sepp .|telefonivabrikus|LOC
"""Kui usulise ekstaasi asemele astub institutsionaalne salvimine , kui karismaatiliste kohtumõistjate spontaanne manifestatsioon asendatakse aja jooksul inimlikul jõul püsiva kuningavõimuga , kui kuningate konfrontatsioon prohvetitega on pigem reegel kui erand , kui kaasajalgi kiriku valitsevad ringkonnad suhtuvad suurima ettevaatlikkusega vaimuvirkusesse , nõudes kehtestatud normidele jäägitut allumist , siis küsime , kas korrapärastamine , piiritlemine , ohjamine , oma näo järgi kujundamine pole mitte üks inimest enim iseloomustav parameeter ."|ekstaasi|"NONE"""
Riided seljas , istusin nina luristades ja nohu kirudes pimedas esikus jalanõudekapile , valmis vastava impulsi saabumisel otsemaid välja minema .|jalanõudekapile|LOC
Hommikukastes istusin ta kõrval , kuni kerkis päike .|Hommikukastes|LOC
Et kui too astus porimülkast rambivalgusse ja muutus ühtäkki arusaadavaks , siis tema peab varjutama valguse sõnade sirmiga , kui Tarvik ilmub põrgust maa peale , siis Toomas Tromb Tromb Tromb , suutmata temaga sama õhku hingata , tõuseb maa pealt taevasse .|porimülkast|LOC
Ajalehes “ Vooremaa ” olevat olnud teade muutuste kohta , kuid maainimestel käib vähe lehti ja kui paljud neist teadet märkasid , oli tunda meie koduse telefoni helisemissagedusest .|maainimestel|NONE
Heimtali puhkebaasides käinud mõne tegelase suhtumisest on Albile jäänud küüniline mulje , nagu peaks kõik hea olema ilmtingimata erastatud .|puhkebaasides|LOC
Nagu istunuks ta seal juba teabmis ajast , tõmbas ta asfaldile kivikilluga lühikesi kriipse , bussist ja möödaruttavatest inimestest välja tegemata .|teabmis|NONE
"Jah , ja kui ta siis üsna ekspeditsiooni algul oma äsjaavastatud purskkaevupargis istus , raamat lahti põlvedel , küsis keegi ometi "" Tädi , mis sa mõtled ?"|purskkaevupargis|"LOC"""
"""Poroloontugitoolis , jopp eest lahti , jalg üle põlve istus Toomas Kitse ja silmitses filosoofilise huviga näppude vahel olevat konjakipitsi ."|Poroloontugitoolis|"LOC"""
"Ooperis käisin samuti , eriti meeldis mulle ballett , aga ka ooperit käisin kuulamas , korra poisikesena isegi Therese Stratast "" Boheemis "" ."|Boheemis|NONE
Korraks jooksin Meinhardi kägaras kogu poole , et kui ta on haavatud , saan ehk aidata , aga siis taipasin , et ega ma teda siit enam ära kanda ei jõua .|Meinhardi|NONE
Eesti Aasia spetsialist ja Esindamata Rahvaste Organisatsiooni peasekretäri asetäitja Linnart Mäll käis juuni algul Mongoolias ning seejärel Saksamaal Tiibeti toetuskonverentsil .|toetuskonverentsil|NONE
Nende kaameramehed , kirjutavad ja kõnelevad ajakirjanikud jooksid väljavisatutele tormi .|väljavisatutele|NONE
"""Üllatavalt kiiresti ralli põhitõed omandanud Piirsalu astus hooaja lõpus juba tippmeestelegi kandadele ."|tippmeestelegi|"NONE"""
Samal suunal liigub ka Saidi shokolaadinali neegrist sõbra pihta .|neegrist|NONE
Kolmanda korruse ringrõdul istuvad mugavates lamamistoolides kõrvuti kaks kuju : üks keskmist tugevat kasvu , teine suur , atleetliku kehaehitusega – puhkajad paraku .|ringrõdul|LOC
astub ekspeditsiooni generaaljuhi telkmajja Joseph .|telkmajja|LOC
Ja mida tahtis see 16 aastane poiss , kes astus siis Venemaa Sotsiaaldemokraatlikku Töölisparteisse ?|Töölisparteisse|NONE
Tänase päeva vastustamatu hoog nakkab Almassegi , kes tegusal maanaisesammul astub nüüd mööda Vene turu platsi .|maanaisesammul|NONE
Tihti käis ta ka Coruñas ning naasis alati nukramana , kui oli sinna läinud .|Coruñas|LOC
Käisin oktoobris Eesti ametliku esindajana Horvaatias Euroopa poksitšempionaadil .|poksitšempionaadil|NONE
Oma sõnul käib Rootsmäe jalaväepataljonis paar korda nädalas , akadeemilise malevkonnaga tegeleb iga päev .|jalaväepataljonis|LOC
Ka naised käivad üsna sageli paintballist elamusi hankimas .|paintballist|LOC
Nüüd elab ta pargi puudel ja käib teisel oraval külas söömas .|oraval|LOC
Mustanahaline mõrvar oli laskeharjutustele mineku eel käinud ühest kasarmuhoonest teise ja tulistanud automaatrelvast R4 valimatult oma kaaslaste pihta .|kasarmuhoonest|LOC
Kaldale jõudnud paadist hüppavad välja kaks meest ning jooksevad lintidega ääristatud maabumiskoridoris esimese liivaluiteni .|maabumiskoridoris|LOC
Tahan kujundada sellest teosest terviku , mis ei oleks ainult Mozartist lähtuv , vaid et selle tähendus liiguks Mozarti helikeelest korraks ka vanematesse muusikakihistustesse .|muusikakihistustesse|NONE
Nad istusid saepukil , just nii nagu vanasti , ja Mehis rääkis äsjasest elamusest koolimajas .|saepukil|LOC
Jutuajamine käis neil toojuures enamaste ühe malli järgi .|toojuures|NONE
"""Kui ta nüüd siin pimedas sügisrõskes Pargi tänava keldritoas istus ja mõtiskles , tundus talle , et seekord ei olnud nad luulet lugenud , nagu mõnigi kord varem , seekord olid nad siiski vaielnud , ehk tülitsenudki , ja kaelakee kui Heiti kingitus oli Emajõkke lennanud allajäämisvihas ;  äkilised olid nad mõlemad ."|sügisrõskes|"NONE"""
Luuletajad on vaikselt lahkunud Eedenist - Kross , Beekman , Traat , Vetemaa , Baturin , Luik , Mihkelson tõstavad eesti proosat maailmatasemele ning Kaalepil on Akadeemia , Runnelil Ilmamaa , Paul-Eerikul poliitika .|Eedenist|NONE
Tavaliselt küttis ta vadides ja nende põikorgudes , mille veesoontel käisid janu kustutamas kõik kõrbes elavad loomad .|veesoontel|LOC
“ Ole hea poiss ja pihi oma jumalale , kuis sul õlipõrgus istub ! ” möirgas sööklasse sisenenud Emerson Nikyase vastas lauda rantsatades .|õlipõrgus|NONE
"""Ta tuli otse kuuma duši alt – aurendav hiiglane , paisunud lihased nahka rebendamas – ning astus mööda tube läbivat punast vaiprada pressiruumi ."|pressiruumi|"LOC"""
Enne sõjaväge , 18-aastaselt , käis Lukk Vanemuises temale saatuslikuks saanud orelikontserdil .|orelikontserdil|NONE
Praegu käib näitemänguseltsis selle juhendaja Meelis Hansingu sõnul ligi 50 noort .|näitemänguseltsis|NONE
Aga näe , tollessamas Loomingu septembrinumbris ootas ilmumist tulevase isamaalase ja mementolase Ülo Ojatalu lojaalne , õige natuke töökorralduskriitiline olukirjeldus sellest , kuidas ta šefluskorras käis ehitamas Lenini-nimelist kultuuri- ja spordipaleed ( linnahalli ) .|šefluskorras|NONE
Euroopa ühel suuremal jazzifestivalil Soomes Poris , mille avalöök on täna , astuvad paljude maailmastaaride kõrval üles ka Eesti muusikud - Toivo Undi trio ja Tiit Pauluse kvartett .|jazzifestivalil|NONE
Eestlased karjusid hurraa , tankiluukidel istuvad venelased lehvitasid eestlastele .|tankiluukidel|LOC
Hannes Rumm , Eesti Päevalehe arvamustoimetuse juhataja , lahkus “ Kahvlist ” mullu sügisel .|Kahvlist|NONE
Neil , Alla perel olevat suur korter ja seal üks kasutamata teenijatuba , kus ta reduperioodidel öömajal käinud .|reduperioodidel|NONE
Kõikidel rahvaüritustel agaralt käinud Hannid lähevad suurpeole vipitama kaheteistkümnekesi .|rahvaüritustel|NONE
Osa infomessi Teeviit külalisi jooksis messikeskuses ummisjalu ja küünarnukkidega rahva seast läbi murdes huvikeskuse Kullo boksi juurde , et näha nukkilusaid tüdrukuid .|murdes|NONE
Üks katsealune noor leidis, et on teinud elu parima tehingu: ta pääses rahata Shveitsi, elas seal priil toidul ja käis alpimägedes ekskursioonil.|alpimägedes|LOC
Sõltuvalt kliimast ja tootmise intensiivsusest on taimekasvatuses kasutatavate mürkide ( herbitsiidid , pestitsiidid jms ) kogused väga erinevad ja nende jääksisaldus puu- ja juurviljades võib olla ohtlikult suur ( jutt käib mikrogrammidest kg kohta ) .|mikrogrammidest|NONE
Laenutustes käivad uisud tihtipeale otse ühe laenutaja jalast teise jalga .|Laenutustes|LOC
Nii ei ole mingi ime , et käivad jutud mõisa peahoone kummitusest .|kummitusest|NONE
Ajal , mil USAs käib elav diskussioon üle kahe miljardi dollari ( kaks Eesti riigieelarvet ! ) kulutamise mõttekusest superpommitajate B-2 valmistamiseks , suutis Jugoslaavia lasta tükkideks samasugust stealth-tehnoloogiat kasutades loodud hävitaja-pommitaja F-117A Nighthawk ( “ Öökull ” ) .|mõttekusest|NONE
Tema surma kohta on liikunud legende alates enesetapust kuni sakslaste poolt allatulistamiseni Vahemere kohal .|enesetapust|NONE
Vahel tundub mulle , et - ( teatava visionäärsusega ) tuhmis tolmupilves liigub kari tonte , vaime , kooljaid .|tolmupilves|LOC
Noor naine astub moesalongi :|moesalongi|LOC
Need liiguvad ka õunapuudel , otsad on juba hõbedased .|õunapuudel|LOC
Ülejäänud astusid Eesti kodakondsusse kolmekümnendatel .|kolmekümnendatel|NONE
Igal pühapäeva hommikul lahkub Eckard Klug oma kodust Lõuna-Rootsis , et tuua Eestisse koorem humanitaarabiga .|Lõuna-Rootsis|LOC
"""Veebruaris käisid ülemused Itaalias moemessil ."|moemessil|"LOC"""
Käisin aga jälle Sussexis oma tädi Marthat vaatamas .|Sussexis|LOC
Mitsubishi lahkub Euroopa ja Jaapani arvutiturult .|arvutiturult|NONE
“ Kõigepealt käisin õmbluskursustel , tahtsime koos naabrinaisega õmblema hakata , kuid sellest ei tulnud midagi välja , ” märkis ta .|õmbluskursustel|NONE
Vallandatud käisid sel nädalal ka töökaitseametis , neile lubati vastata ühe kuu jooksul .|töökaitseametis|LOC
"""Et kõikidele pakenditele aktsiisi kehtestamine ühekorraga käib meie nigelale ametnikkonnale ja nende võimetele üle jõu , otsustati aktsiisi rakendada järkjärgult . ”"|ametnikkonnale|"NONE"""
Käige mõnel riigipühal mööda mõnd asulat ja vaadake , kui paljudel majadel ikka on riigilipud väljas .|riigipühal|NONE
Seila Saks , kelle laps käis varem pealinna esimeses eralasteaias Punamütsikese Mudilasmajas , vahetas lasteaeda eelkõige seoses elukohamuutusega .|Mudilasmajas|LOC
Jutt käib Moskva võimetusest finantseerida oma osa uues rahvusvahelises orbitaaljaamas ALFA .|võimetusest|NONE
“ Et kahe panga ühinemine on teada , siis liiguvad nende aktsiate hinnad tugevas korrelatsioonis , ” tõdes üks tundmatuks jääda sooviv maakler BNSile .|korrelatsioonis|NONE”
Ka reede õhtul kella 1/2 5 paiku , kui töölised tellingute koristamistöödelt lahkusid , ei olnud silla vajumist märgata .|koristamistöödelt|NONE
“ Vererõhku käib siin päevas mõõtmas kaks-kolm inimest , ” rääkis päevakeskuse juhataja Virve Paluvits .|Vererõhku|"NONE"""
Ploomikeses käib ka haigeid ja nõrgema närvikavaga lapsi , rühmad on väiksemad .|Ploomikeses|LOC
Istusime abikaasaga 13. juunil Managuas lennukisse , et sõita üheksandale troopikapuhkusele .|Managuas|LOC
Mihkelson :  Ma ei saa öelda , et mina kirjandusemajas üldse ei käiks , olen käinud kirjanduspäevadel , konverentsidel .|kirjanduspäevadel|NONE
Seega käib jutt ilmselt vaid ühest lisavõimalusest , mida “ patriootlik ” Vene press tahab kasutada Baltimaade tülli ajamiseks .|lisavõimalusest|NONE
Kui reastan õnnehetki , meenub kõigepealt , kuidas varajases nooruses istun Valgerannas kivi otsas , üksi looduses , olen noor ja tugev ja tunnen , et elu on ees .|Valgerannas|LOC
Stockholmis on mõlemad medalivõitjad lubanud kaasa teha mitmel alal - Engquist jookseb lisaks oma põhidistantsile ka 200 m ning lühikest teatejooksu , Hämäläinen tõmbab naelikud jalga 400 m jooksus ning 110 m tõkkejooksus .|Engquist|NONE
Juba kuu aega käivad möödunud kümnendite menupaigas Püssirohukeldris ettevalmistused põhjalikuks ümberehituseks .|menupaigas|LOC
Carl Maximowicz käis Amuurimaal , Mandzhuurias ja Jaapanis .|Amuurimaal|LOC
"""Toomas Piho , kes Listakult Võrru tööle käib , rääkis , et õhtul koju minnes ja tormist tekitatud kahjustusi nähes kartnud ta , et ka tema kodu on purustatud , kuid suur oli tema rõõm nähes , et tema majapidamiseni polnud torm jõudnudki ."|Listakult|"LOC"""
Muusikapressis liiguvad järjest visama järjekindlusega jutud , et muusikatööstusel ei lähe viimasel ajal eriti hästi .|Muusikapressis|NONE
"""Ungari tuusadest astuvad MK-sarja kuuluval Tallinna Mõõgal rajale vanameister Ernö Kolczonay ( maailma edetabelis 20. kohal ) , Krisztian Kulcsar ( 22. ) , Attila Fekete ( 24. ) ja Imre Gela ."|Mõõgal|"NONE"""
Peterburi elama asunud nooruk astus siseministeeriumi kõrgemasse poliitkooli , mille lõpetas 1973. aastal “ ohvitser-poliittöötajana ” .|poliitkooli|LOC
Parlamendis käivad jutud endise peaministri Guntars Krastsi taasvalimisest , kuigi pole saladus , et sellele ametipostile on tõenäolisim kandidaat TP liider Andris shkele .|taasvalimisest|NONE
Lähen , joon kaks õlut , käin Chicago bluusifestivalil , vaatan Niagara koske ja istun maha .|bluusifestivalil|NONE
Kaitseminister Öövel käis laupäeval kõnet pidamas Soome Riigikaitsegildide Liidu julgeolekupoliitilisel seminaril Helsingis Santa Hamina Riigikaitseakadeemias .|Riigikaitseakadeemias|LOC
“ Jutt käib halvas seisus oleva vara mahakandmisest , ” lisas ta .|mahakandmisest|NONE
Mäesuusatamise MK-sarja lõpuetapil Sierra Nevadas astus Lasse Kjus eile sammukese lähemale sarja üldvõidu poole , edestades supersuurslaalomis oma mõlemat peakonkurenti .|lõpuetapil|NONE
Üleeile kell 17.31 teatati politseile , et Turu tänava kivimajas on käinud varas .|kivimajas|LOC
Tuleb tunnistada , et Ukraina on oma elektrisüsteemi restruktureerimisel sammukese kaugemale astunud kui Eesti .|restruktureerimisel|NONE
"""Paabo sõnul maksaks süsteemi pidev tööshoidmine politseile paarkümmend tuhat krooni kuus , sest andmete edastamine käib GSM-mobiilivõrgus ning on sama kallis kui tavaline kõneminut ."|GSM-mobiilivõrgus|"NONE"""
"""Moodsa tantsumuusika üleilmne guru , briti DJ Gilles Peterson , kes kahel korral käis ka Jazzkaare tantsureividel plaate keerutamas , mängis ühes oma raadiosaates nende lugu ja tutvustas seda kui  “ surprise from Estonia ”  ."|tantsureividel|"NONE"""
Siis jutustab Pihkva järve ühel saarel sündinud Aleksandra , kuidas 1957. aasta kirkal talvepäeval astus ta isatallu venna sõber Beresjest , kellesse ta esimesest pilgust armus , kellega ta Beresjes abiellus ja kellega elab siin tänini .|kirkal|NONE
Hiljem , kui selguks , et Venemaa liigub rahasüstile vaatamata allamäge , kriitikat vaid lisanduks .|rahasüstile|NONE
"""Mõelda , mida kõike maailmas süüakse - kunagi käisin Burjaatias , seal pakuti mingit pooltoorest hobuseliha , vaat see mulle küll ei maitsenud . ”"|Burjaatias|"LOC"""
Istu korraks paksus roostes raudpingikesele , armas turist , mässi end oma musta mantli hõlmadesse ja mõtle sellele , kui tühine on maine hiilgus ja mööduvad mõnud .|raudpingikesele|LOC
“ Kuid kõik uus nõuab kohanemisaega , esialgu tuleb aru saada , mismoodi elu tipptasandil käib .|tipptasandil|NONE”
Kui Eesti avangardismi isaks tituleeritav Leonhard Lapin suprealismi näituse ja manifestiga 1996. aastal Tallinnas Vaal-galeriis avalikkuse ette astus , tekitas see parajat kahinat nii meil kui ka mujal .|Vaal-galeriis|LOC
Klassilõpupildi ikonograafias teostatud hiigelfotol istus rühm ööriietes tüdrukuid , käed vaguralt rüpes ja silmad kinni surutud .|ööriietes|NONE
“ Aga praegu käib ka volikogu kehtestatud kaheksakroonine üüri piirmäär ruutmeetrilt veel mõnele üle jõu , üürivõlglasi on palju , ” möönis Fink .|ruutmeetrilt|"NONE"""
Sel aastal käis üheksakümnest esimesse klassi minejast kolmandik keskuses kooliks ette valmistumas ja Pajur usub , et need lapsed ja nende vanemad tulevad hiljemgi nõu saama : kas loovusmänge mängima , perekoolitusse või oma karjääri kujundama .|minejast|NONE
Festivaliprogrammis oli teiseks päevaks rõhuasetus sujuvalt liikunud rahvalikkuselt elitaarsuse poole .|rahvalikkuselt|NONE
Kummatigi pole rühmituse kunst kunagi mandunud Tõnis Vindi loengute illustratsiooniks , vaid on intuitiivselt ja omapäi liikunud õpetuse naaberradadel ja õpilase enda hingemaastikul .|naaberradadel|NONE
Vaatamata sellele , et Juri Lotmanit meie seas enam ei ole , oli tal palju õpilasi , kes jätkavad töötamist nii filosoofiateaduskonnas kui ka sotsiaalteaduskonna semiootika osakonnas , ja kui nüüd Rein Undusk märgib , et oma tudengiajal käis ta ärksamaid mõtteid otsimas vene filoloogia osakonnas , siis - ka praegu ei takista tudengit miski seda tegemast .|tudengiajal|NONE
""" Nähes suurt mudamaadlust ja poriseid inimesi , sain kohe aru , et igav siin küll ei hakka , "" ütles Vahur , kelle sõnul on ta käinud ka kolmel varasemal Kaiu Rocklaagril ."|Rocklaagril|"LOC"""
Suure suuga mees tõotas paar aastat hiljem , et 33selt lahkub ta rockmuusikast , sest täisikka jõudnu peab tegelema millegi tõsisemaga .|rockmuusikast|NONE
"""Rike Eckerö Linei reisilaeval avastati enne laeva väljumist teisipäeva õhtul kell kuus , kui autode laadimisel ei liikunud õigesse lukustamisasendisse välis- ja sisevärava vahel asuv pealesõidusild ."|lukustamisasendisse|"NONE"""
Kassid käivad kalapaatidel sadamas vastas ja neile visatakse kah .|kalapaatidel|LOC
Ehkki haldusõigusseadustik kohustab trahvi määramisel arvestama inimese varanduslikku seisu , peab Mikkovi sõnul silmas pidama , et jutt käib liikluseeskirja rikkujate puhul siiski peamiselt autoomanikest .|autoomanikest|NONE
Sest maksujõuetud lahkuvad tsiviliseeritud elamispindadelt ja kolivad näiteks Kopli liinidele .|elamispindadelt|LOC
Paraku on nende rahvuslike küsimuste lahendamine käinud Mordvamaal üle kivide ja kändude .|Mordvamaal|LOC
"""Täiendava UV-kiirguse mõjul liigub see välimistesse nahakihtidesse , päevitus muutub intensiivsemaks ja naha väliskiht pakseneb ."|nahakihtidesse|"LOC"""
Pisut linna poole jäävas Kunderi tänava videolaenutuses leti taga istunud 27-aastane Svetlana ei osanud esialgu midagi hullu karta , kui politsei hakkas viodeokassette riiulitelt maha võtma .|videolaenutuses|LOC
Søndråliga ühes paaris uisutanud mitmevõistluse maailmameister hollandlane Ids Postma oli veel enne viimast ringi nii sõitu kui ka kulda võitmas , kuid astus eelviimases kurvis oranzhile rajatähisele ja pidi tasakaalu tagasisaamiseks end peaaegu püsti ajama .|rajatähisele|LOC
The Dream  istus koos tütrega Nigeeria koondise varumeeste pingil vaid alagrupimängus Austraaliaga ja juba järgmisel päeval lendas Kreekast puhkusele Türki .|alagrupimängus|NONE
Käesolevat aastat on aga seal prognoositud uue murrangu aastaks ja võib eeldada , et Eesti liigub samal arengukõveral .|arengukõveral|NONE
Juunis lahkus Charltonisse vasakkaitsja Chris Powell ( üleminekusumma 825 000 naela ) , juulis kolis Barnsleysse hollandlasest poolkaitsja Robin van der Laan ( 325 000 ) .|Charltonisse|LOC
"""Neil , kes on käinud sideasutuses pensioni järel , tuleb ka toetussumma küsida samast kohast ."|sideasutuses|"LOC"""
Selleks ajaks oli E. Tamm Linnavalitsusest juba lahkunud .|Linnavalitsusest|LOC
Karjääri huvides jäid Liz ja Hugh aga näiliselt ikkagi kokku ning liikusid koos lugematutel filmilinastustel , auhinnatseremooniatel ja ööklubides .|filmilinastustel|NONE
Igal meediakanalil on seejuures oma spetsiifika : trükiajakirjandus saab hakkama erainitsiatiivil , raadioeetris on erakapitalil palju mänguruumi , teleasjanduses käib mitmekesine omakeelne info- ja sotsiaalkultuuriline programm erategijatele üle jõu .|teleasjanduses|NONE
ERA sõjakolledzhisse astus sel aastal 75 noormeest .|sõjakolledzhisse|LOC
Isegi mingid valimised organiseeriti , mäletan , kuidas käisin linnukasvatuses agitatsioonikoosolekul .|agitatsioonikoosolekul|NONE
