form|lause|classification
päras|Süüdista inimest mingis patus , kui ka tal õnnestub süüdistused tagasi tõrjuda , süüdista mõne aja päras uuesti ja siis ei usu tema süütust enam keegi .|NONE
Pärale|Pärale on jõudnud hotelli rajamist käsitlev NSV Liidu Ministrite Nõukogu korraldus .|NONE
päradel|Talviti pärast sõda sõitsime võimalust mööda _kooli_ ja koju talumeeste regede päradel .|NONE
PÄRAST|PÄRAST VANEMATE SURMA VALITSEB MAJAS HÕLLANDUSE , aja seiskumise atmosfäär .|NONE
NONE
sõjaväeosas|Kui keegi sõjaväeosas organiseerib koosoleku ja garnisoniülem või muu ülemus ei suuda selle keelamisega toime tulla , siis ausalt öeldes ei ole tegemist sõjaväega .|LOC
sõjaväeosas|SL Õhtuleht oli tunnistajaks , kuidas Groznõi sõjaväeosas teenivad noormehed palusid väliskorrespondentidelt võimalust satelliittelefoniga lähedastele helistada , kuna teist sidevahendit neil pole .|LOC
"""sõjaväeosas"|Tallinna tuletõrje- ja päästeamet kaalus vahepeal , kui probleem juba üle jõu käivaks kippus muutuma , kaitseministeeriumile märgukirja tegemist , et viimane kas kannaks kustutamise kulud või paneks mõned ajateenijad sõjaväeosas süütajat karjatama .|"LOC"""
sõjaväeosal|Grupisisene omavoli ei tarvitse olla grupilise intentsiooni akt , vaid võib olla põhjustatud grupi olemasolust ja olemusest : nt , sõjaväeosal ei tarvitse olla grupilist intentsiooni kiusata noorsõdureid , kuid väeosas valitsevad informaalsed suhted ja väärastunud arusaamised distsipliinist loovad selleks võimaluse .|NONE
sõjaväeosas|Kell 20.02 põlesid Astangu sõjaväeosas kulu ja nelja kuuri varemed .|LOC
asendamisele|Kuigi normatiivne süümõiste viis klassikalise süüteomõiste asendamisele neoklassikalise süüteoõpetusega ja tõi endaga kaasa ettekujutuse süüst kui isikule tehtavast etteheitest , et vaatamata võimalusele käituda õiguspäraselt , otsustas ta siiski õigusvastase käitumise kasuks , ei muutnud see esialgu veel midagi tahtluse deliktistruktuurilises kohas ja õiguslikus tähenduses .|NONE
NONE
"""asendamisest"|Financial Times tsiteeris ka üht NATO diplomaati , kes rääkis 500 kilogrammi kaaluvate pommide asendamisest 250kilogrammistega .|"NONE"""
asendamisel|Ometi distsiplineeriks see mõningate ekspertide hinnangul kaupmehi ning tagaks hindade läbipaistvuse krooni lõplikul asendamisel euroga .|NONE
NONE
Kristiines|Kristiines käib heakorra tagamine aasta läbi , kuid talvekuudel , kui maad katab lumi , ei ole kahjuks võimalik kogu tänavatele ja haljasaladele sattunud prügi ja pärast lume tulekut maha langenud puulehti ära koristada .|LOC
Kristiines|Kristiines , Madara tänaval olevas mahajäetud tööstushoones puhkes täna tulekahju .|LOC
Kristiines|Kristiines tuleks Tallinna sõnul jalutuspargina taastada Löwenruh' mõisapark koos kauni tiigi ja kanalitega .|LOC
Kristiinele|Kristiinele teeb peavalu Lilleküla staadioni ümbrus , Nõmme vaevleb raudteeäärsega , Tähetorni kandiga ning Pääsküla rabametsaga .|LOC
Kristiines|Kristiines valmib 24 korteriga elamu|LOC
mäetipult|Egger startis 3250 m kõrgusel asunud mäetipult .|LOC
mäetipule|Oleme kaks eluaegset vangi , kes õhtu õhtu järel kaugele mäetipule ronivad , et heietada mälestusi möödunud aegadest ja klammerduda kauge valguse külge .|LOC
"""mäetippudele"|""" Meie võitlejad on kogu Tora Bora üle võtnud , vaenlane taandus mäetippudele Tora Bora ja Waziri kuru vahel ."|"LOC"""
mäetippudel|Ekvaatori lähedus tagab selle , et lund näeb ikka vaid kõrgematel mäetippudel .|LOC
mäetipus|Bush , tema isa George Herbert Walker Bush ning USA eelmine president Bill Clinton sõid Berlusconiga pastat ja loomaliha 16. sajandist pärinevas Villa Madamas , mis asub mäetipus , kust avaneb vaade Roomale .|LOC
tootmishoonesse|Šampinjonitööstus tuleb Võhma kombinaadi 20 000 ruutmeetri suurusesse tootmishoonesse , ülejäänud hooned rendib TEB Karu teatel välja teistele ettevõtjatele .|LOC
tootmishoonesse|Saint-Gobain paigutas Elvexi uude tootmishoonesse umbes 70 miljonit krooni .|LOC
tootmishoonest|CARMEN KASS soetas hiljuti New Yorgisi terve korruse endisest tootmishoonest , kuhu laseb endale korteri ehitada .|LOC
"""tootmishoonesse"|Erikomando K sai väljakutse Tartu maanteel asuvasse Marati tootmishoonesse pärast seda , kui Tallinna politseipatrullid , kiirreageerijad ja kriminaalpolitsei olid viiekorruselise , peaaegu tervet kvartalit täitva hoone ümber piiranud .|"LOC"""
LOC
mekas|Käesoleval nädalal jätkub MK-sari Saksamaa laskesuusatamise mekas Rohpoldingis .|NONE
Mekasse|Abiks on kompass , mis näitab teed Mekasse .|LOC
Mekas|Ema aga kinnitas politseile , et 11. septembril 2001 oli Chatty palverännakul Saudi Araabias , ilmselt käis ka Mekas .|LOC
Mekast|Islami ajaarvamine algab aastast 622 , kui prohvet Muhamed põgenes kaliifide tagakiusamise eest sünnilinnast Mekast Mediinasse .|LOC
Mekasse|Tervis lubaks muhameedlasi Mekasse küll , kuid rahakoti paksus jätab soovida .|LOC
kergejõustiklastest|Eesti kergejõustiklastest võistlevad kindlasti kaasa sprinter Katrin Käärt , tõkkejooksja Mirjam Liimask ja kuulitõukaja Taavi Peetre .|NONE
kergejõustiklastest|Meie kergejõustiklastest asub esimesena võistlustulle odaviskaja Andrus Värnik , kellel tänavu kirjas 82.16.|NONE
kergejõustiklastele|Näiteks sporditarvete firma Nike lubas kõigile tema egiidi all võistlevatele eesti kergejõustiklastele kulla eest maksta umbes 150 000 boonuskrooni .|NONE
NONE
kergejõustiklastele|Juba teist aastat korraldas Valgamaa Spordiliit koostöös Valga maavalitsusega noortele kergejõustiklastele sportliku koolivaheaja treeninglaagri Lätis Limbaži olümpiaettevalmistuskeskuses .|NONE
talvepäeval|Riigikogu asjaajamine oli nagu koer , kes raudkülmal talvepäeval pidevalt uksest sisse ja välja sõelub , kuni pakane sees radiaatori lõhki lööb .|NONE
talvepäeval|Ühel tänavusel talvepäeval tuli pensionärist nukunäitlejale külla Antti Indow , kes on tuntud diskorina ja diskoprojektist Ultra Mid .|NONE
talvepäeval|Mõnel talvepäeval ei pistaks Peep heameelega varvastki majast välja külma kätte .|NONE
talvepäeval|Ühel hämaral talvepäeval Tue , 9 Jan 2001 19:30:11 +0200 , « Marko » saatis siia järgmised read :|NONE
talvepäeval|Ühel hämaral talvepäeval Tue , 9 Jan 2001 13:35:23 +0200 , « Taimo Veski » saatis siia järgmised read :|NONE
aedikus|Eesti Päevalehe reporter Toivo Tänavsuu ja fotograaf Marko Mumm käisid vaatamas , mida mehed seal aedikus teevad .|LOC
aedikust|Proua läks sigadele süüa viima ning tuli mureliku jutuga : « Jumal küll , sead on haiged , siga tuleb aedikust välja ja kukub pikali .|LOC
aedikus|Hirmustes sööb külakiige taga aedikus veisekari , üks pullihakatis rahutult edasi-tagasi jalutades , justkui kiigele pääseda igatsedes .|LOC
aedikutes|Teel tuppa jäi aedikutes ette mitmeid suuri ja väiksemaid penisid .|LOC
aedikus|Talvel saavad kängurud uudishimutsejatest puhata ja hüplevad rõõmsalt oma aedikus .|LOC
kodustaadionil|Viljandi Tulevik ei suutnud kodustaadionil enamat 0 : 0 viigist Pärnu Levadia vastu .|LOC
kodustaadionil|Kergejõustikuliit ütles juba eelmisel aastal välja mõtte , et kodustaadionil tuleb sini-must-valge alla välja tuua kõik parimad jõud , et viia nii nais- kui meeskond Euroopa esiliigasse ehk tugevate keskmike hulka .|LOC
kodustaadionil|Poola koondislane on ka varem Glasgow derbimängudel pahandustesse sattunud – 2006. aastal hoiatas politsei teda provotseerivate žestide eest Rangersi fännide suunas ja kevadel vehkis Boruc pärast Rangersi alistamist viimaste kodustaadionil lipuga , kus seisis , et Celtic on Šotimaa meister .|LOC
kodustaadionil|Noortele eftsee-valgalastele pole midagi ette heita , sest Flora meeskonnaga treenivad pallurid viibisid esmakordselt kodustaadionil .|LOC
kodustaadionil|Viimases voorus alistas Olympique kodustaadionil 42 000 pealtvaataja ees RC Lensi 3 : 1.|LOC
Skopjes|Makedoonia operatsiooni juhtiv Taani kindralmajor Gunnar Lange teatas varem Skopjes , et NATO erisaadik Peter Feith ja albaanlaste Rahvusliku Vabastusarmee poliitiline liider Ali Ahmeti saavutasid teisipäeval leppe sisside relvade loovutamise kõikide üksikasjade kohta .|LOC
Skopjest|Valitsusarmee vallutas hiljuti mai alguses sisside kätte läinud Vaksince ja seda ümbritsevad külad Skopjest 40 km kaugusel mägedes .|LOC
Skopjes|Klavan liitub koondisega Skopjes , kuhu lennatakse homme õhtul .|LOC
Skopjesse|Teiste hulgas lendas eile hommikul Moskvast Skopjesse ka Dmitri Kruglov .|LOC
Skopjesse|Sinisärgid jõudsid eile õhtul Skopjesse , kus ülehomme kohtutakse Makedooniaga .|LOC
jääpangal|Kui esimesed isakarud on juba mitu nädalat ringi mütanud , siis nüüd on platsis ka karunoorukid - üks neist tegi Ruhnu saare lähistel jääpangal sõitu , teine tuli Viljandimaal Tääksis taluõue revideerima .|LOC
jääpangalt|Nädalaid tagasi meedias palju elevust tekitanud karu , kes keset Liivi lahte triivivalt jääpangalt Ruhnu saarele sattus , on sinna meelitanud hulganisti Läti ajakirjanikke .|LOC
jääpangale|Möödunud kolmapäeval jäi Pärnu lahel triivivale jääpangale 105 kalameest , kelle piirivalve kaldale tõi .|LOC
jääpangal|Näost ei ole küll näha , et nad jääpangal mere poole triivides kartma oleks löönud .|LOC
jääpangalt|TALLINN , 9. veebruar ( EPLO ) - Esmaspäeval päästsid piirivalvurid Pärnu lahel maatuule tõttu lahtimurdunud ja triivima hakanud jääpangalt 24 merehätta jäänud kalameest .|LOC
NONE
Harril|"Ja järele mõelda on Harril praegu väga vaja ... """|NONE
Harris|Tellimuse saanud moelooja Gabby Harris tunnistab , et staarile meeldis tema töö väga – isegi sedavõrd , et Harris sai kohe ka uue tellimuse , needitud T-särgile Puffy näitlejast sõbratari Jennifer Lopezi tarvis .|NONE
NONE
NONE
mänguminutil|Lantana parim viigistamisvõimalus tuli 32 . mänguminutil , kui Karin Danilicevase ilusa seinasöödu tagajärjel karistusalasse pääses ja seal Jazzi kaitse poolt maha niideti .|NONE
mänguminutil|Põhiturniiri viimane mäng viis rivist ameeriklasest ääre Donald Beachami , eile esimesel mänguminutil sai õlavigastuse leedulane Egidijus Mikalajunas .|NONE
mänguminutil|Esimese värava lõi ameeriklane Clint Mathis 24. mänguminutil .|NONE
mänguminutil|Issel kavatseb Sloanile kätte maksta selle eest , et too hoidis viimaselgi mänguminutil väljakul nelja algrivistuse meest , kuigi Utah oli kohtumise ammu võitnud .|NONE
mänguminutil|Seisult 0 : 1 lõi eestlaste viigivärava Svetlana Goloborodko 70. mänguminutil .|NONE
padjal|Linnuke sai nimeks Pluti , elas toas ja magas perenaise padjal .|LOC
patjadel|Mõne aja pärast , kui Mirja maalilises poosis patjadel lesis ja graatsiliselt teed rüüpas ning mees ta sängiveerel istus , sest põrandal oleks veelgi hullem olnud , küsis naine otse .|LOC
patjadele|""" Sa kuulsid , kuidas salongis lõi kell seitse ja vajusid jõuetuna patjadele ."|"LOC"""
padjal|Liha on mahlakas ja tapenade1 maitsest läbi imbunud ning paikneb koores hautatud riivpeedi padjal .|LOC
padjas|Ivo lamas näoli padjas .|LOC
"""patareidel"|Elektrikatkestuse järel töötab süsteem patareidel , kuid need annavad energiat vaid neljaks tunniks .|"LOC"""
patareidest|Tehnoloogia- ja sidefirmad aitavad orkaanis Katrina kannatanuid kõigega alates patareidest kuni satelliit-internetiühendusega bussideni välja .|LOC
Patareisse|Samal päeval , kui esitasin hagi kohtusse , tõi kaitsepolitsei uurija Andrei Levin minu maki Patareisse .|LOC
Patareist|Teadaolevalt põgenes kurjategija Patareist viimati 1999. aasta suvel .|LOC
Patareis|Seal olid just sihukesed mehed , kes Patareis kilo suhkru eest suhu võtsid .|LOC
Tšehhis|Euroopa piinamisvastaste komitee kahtleb Tšehhis seksuaalkurjategijate ohjeldamisel kasutatava kastreerimise õiguslikkuses , kuna kurjategijatele pakutakse kastreerimise alternatiivina tähtajatut vangistust .|LOC
Tšehhis|Tšehhis kasvaksid sissetulekud 60% , Lätis 59% , Eestis 55% , Slovakkias 45% ja Poolas 35% .|LOC
Tšehhis|Algav valiktsükkel selgitab meeskonnad , kes osalevad 2001 . aasta EM-il Tšehhis .|LOC
Tšehhis|Tšehhis Plzenis kerkib 45 000 ruutmeetri suurune selvehall ning kolme samasugust plaanitakse veel .|LOC
LOC
ravimisest|Seal olid juures pildid , ühel neist ka penitsilliinipulbri pudelid ja süstlad , jutt selle juurde käis suguhaiguste oma tarkusega ravimisest .|NONE
ravimisele|Lõhmus lisas , et äsjane intressimäärade tõus aitab kaasa Eesti majanduse haigete kohtade ravimisele .|NONE
ravimisest|Iluravi kõrval unistavad nad ka nõeltega ravimisest .|NONE
ravimisele|Poole aasta jooksul on Haabersti linnaosa valitsus Lihotopi hobuste ravimisele ja ülalpidamisele Nancy ratsaspordiklubi tallis kulutanud ligi 30 000 krooni .|NONE
ravimisele|Ja seda me ei oska öelda , kas haigekassa suunab rohkem raviraha haigete ravimisele .|NONE
proual|USA praeguse presidendi proual Laura Bushil sündisid kaksiktütred Jenna ja Barbara tänu intensiivsele viljatusravile , seisab värskes elulooraamatus , mille autor on Roland Kessler .|NONE
prouale|Naftoli aga ostis prouale ilusad mustad prillid .|NONE
prouale|Ma laon oma asjad kotti ja ulatan prouale .|NONE
prouale|Võimud pakkusid prouale head asendusmaad või hüvitust , mis mitmekordselt korvas hoonete ja aia hinna .|NONE
"""prouas"|Kohati välgatab naerusuises prouas kratilikku kelmi plikat , mis lubaks oletada , et päris täiskasvanuks pole ta end kunagi pidanud .|"NONE"""
Põllumajandusülikoolis|Kokku viis neid just tants , kuigi esimene õpib Eesti Põllumajandusülikoolis põllumajanduse ökonoomikat ja ettevõtlust ning teine Tartu Ülikoolis rahvamajandust .|LOC
põllumajandusülikoolil|Ühtlasi palub minister põllumajandusülikoolil nimetada 10. oktoobriks oma kaks esindajat haridusministeeriumi juurde loodavasse Tartu kõrghariduse arengu töörühma .|LOC
Põllumajandusülikoolis|Eesti Põllumajandusülikoolis lõppes paberite vastuvõtt 407 riigieelarvelisele kohale 10. juulil .|LOC
Põllumajandusülikoolis|Veidi hiljem käis ta praeguses Eesti Põllumajandusülikoolis majanduse tunde saamas ning töötas mitukümmend aastat erinevates maakonnalehtedes ajakirjaniku ja fotograafina .|LOC
Põllumajandusülikoolis|Kuna Põllumajandusülikoolis õpivad peamiselt maapiirkondadest pärit noored , kes hiljem ka maale tööle siirduvad , on ülikooli tegevus vaadeldav samuti regionaalpoliitilises kontekstis .|LOC
Liivimaal|Õunapuude istutamine alleena maanteede äärde oli Liivimaal läinud ja ülemöödunud sajandil levinud komme .|LOC
Liivimaal|18. sajandi lõpul pani Loddigeri kirikumõisas Liivimaal sündinud ning hiljem arstiteadust tudeerinud Garlieb Merkel 1798. aastal eestlastele üldisema diagnoosi : võrreldes meie rahva minevikku ja tulevikku üleüldisemas plaanis , tegi Merkel kaugeleulatuvaid järeldusi maarahva loomuomaduste kohta .|LOC
Liivimaal|Sellest , mis juhtus Liivimaal lõuna pool Tartut , esitab kroonik värvika kirjelduse .|LOC
Liivimaale|Kaupmeestega ühes saatis Breemeni linna piiskop ka ühe vaga munga Meinhard nimi , Liivimaale , et see liivlastele peaks ristiusku kuulutama .|LOC
Liivimaale|Liivimaale pretendeerivad peale Venemaa veel Poola , Rootsi ja Taani .|LOC
saginas|Kasutada seda , mida tema mulle üle kümne aasta tagasi rääkis , valimiseelses saginas , olnuks puhas alatus .|NONE
saginas|Alles hiljem avastati , et üldkäidavatesse ruumidesse jäetud esemetest on osa selles saginas kaduma läinud .|NONE
NONE
"""saginas"|Siis kõndis mees rahulikult minema ja kadus Kuala Lumpuri aastavahetuse saginas Sungei Wangi kaubanduskeskuses rahva hulka .|"NONE"""
saginast|Tiitlikaitsjate lootused surmas Marko Tuomainen , kes väravaesisest saginast litri üle jääl lebava Lillehammeri olümpiasangari tõstis .|NONE
klassiruumis|Pool õppusest käib aga klassiruumis , kus tutvutakse füüsika põhitõdedega ning analüüsitakse liiklusõnnetusi .|LOC
klassiruumidest|Õpetajad sõltuvad klassiruumidest - mõnes on arvuti kasutamise võimalus olemas , mõnes mitte .|LOC
klassiruumis|Friseerimine oleks nagu toimunud otse klassiruumis , frisöörist eksekuutor sealsamas skalpeerimas .|LOC
klassiruumis|Tartu sanatoorses koolis õpivad ühes klassiruumis 1.-5.klassi autistlike kalduvustega lapsed .|LOC
klassiruumides|Vahva päev lõppes hubastes klassiruumides , kus jõuluehtes kuusepuude all ootasid väikesi päkapikke maiustustepakid .|LOC
erikoolidele|Haridusministri nõunik Sirje Priimägi lubas , et ministeerium toetab tulevikus alaealiste õigusrikkujate andmebaasi ja avatud noortekeskuste loomist ning pöörab rohkem tähelepanu erikoolidele .|LOC
erikoolis|Saarva on varem karistust kandud Maardu vanglas ning õppinud Puiatu erikoolis .|LOC
erikoolides|Alternatiiviks on tihti kodust kaugel asuvad erikoolid , mis ei anna aga ühiskonnas hakkama saamise kogemust , sest erikoolides kohtuvad kurdid kurtidega , pimedad pimedatega jne.|LOC
erikoolist|VILJANDI , 2. oktoober ( EPLO ) - Puiatu erikoolist põgenenud poiss rüüstas teisipäeva öösel Päril kuut autot ja ärandas järgmisel ööl samast külast ühe sõiduki , kirjutab Sakala .|LOC
erikoolist|Elu näitab , et erikoolist tulnud noorel pole oma elu normaalseks korraldamiseks oskusi ning neil pole selleks ka kusagilt tuge loota .|LOC
reisibüroost|Jõgevamaale oma kaaslase peksmise eest kätte maksma sõitnud noortekamp tellis selleks reisibüroost suure bussi ja jäi kohapeal politseile vahele .|LOC
reisibüroost|Jõgeva politseikonstaabli Ain Uustali teada tellisid noorukid 50kohalise Scania bussi Tartu ühest reisibüroost .|LOC
reisibüroost|Ühekordne Ukraina viisa maksab 30 USA dollarit , seda saab kas reisibüroost või saatkonnast .|LOC
"""reisibüroosse"|"Anname küsijaile majutusasutuste nimekirja või saadame nad mõnda reisibüroosse , "" rääkis majutusmurelistest Kadri Tallinna turismiinfokeskusest ."|"LOC"""
reisibüroost|Uurisin mõlemast Raekoja platsil asuvast reisibüroost järele ning sain teada , et neil läheb viisa vormistamiseks kaks tööpäeva .|LOC
sektsioonides|Tähtsas tööstus- ja teaduskeskuses Vareses asub Euroopa Liidu finantseeritav kool , kus eri sektsioonides itaalia , saksa , inglise õpivad siinsete välismaalaste lapsed .|LOC
sektsioonis|Šubina , kelle abikaasa asus allveelaeva teises sektsioonis ja hukkus tõenäoliselt avarii esimestel hetkedel , avaldas kahtlust selles osas , et Kurskil tegelikult juhtunu kunagi päevavalgele tuleb .|LOC
sektsioonides|Tema teekond kulges sektsioonide paremal poolel , vett ta nendes sektsioonides ei näinud .|LOC
sektsioonides|Laeva langemist merepõhja 25kraadise nurga all põhjendas admiral sellega , et ellujäänud meeskonnaliikmed üritasid veest vabades sektsioonides ballasttanke käsitsi läbi puhuda , kulutades selleks viimased õhuvarud .|LOC
sektsioonides|Töö käib sektsioonides - naised ühte , mehed teise , nudistid kolmandasse ja pered neljandasse randa .|LOC
randmest|Ning siis võttis habras käsi taas Leibi randmest kinni , mingi eesriie lükati kõrvale ja selgus , et slle taga on veel üks väiksem ruum , ning koguni kaetud lauaga .|LOC
randmele|Mullu tätoveeris Victoria parema käe randmele rooma numbritega kuupäeva 8.05.1997.|LOC
"""randmesse"|"Voolikud käisid randmesse sisse-välja , "" selgitab Laansoo , kelle hääl kõlab palju lootusrikkamalt kui kuu ega tagasi ."|"LOC"""
randmeil|Ajakirja People andmeil rippus näitlejatari randmeil rohkem kui 100 karaadi väärtuses briljantkäevõrusid , samuti kandis ta 13karaadist briljantsõrmust ning valgete pärlite ja briljantidega ripatskõrvarõngaid .|LOC
randmest|Littlejohn haaras Upshottil randmest ja painutas sõrmed tahapoole , mees karjatas valust .|NONE
taliolümpial|Norra kiiruisutaja Johann Olav Kossi sõnul satuvad tema maailamrekordid Nagano taliolümpial tõsisesse ohtu .|NONE
"""Taliolümpial"|Taliolümpial on vanimana võistelnud 53 aastat ja 328 päeva vana inglane James Coates - skeletonis St Moritzis 1948.|"NONE"""
taliolümpial|Nagano taliolümpial Eesti murdmaasuuatamise läbi aegade kõrgeima koha - kuuenda - välja sõitnud Jaak Mae on viirushaigusest paranenud .|NONE
taliolümpial|Startinud kuuel taliolümpial ( 1980 - 1998 ) ja võitnud kuus pronksmedalit : viis 4x10 km teatesuusatamises ( 1980 , 1984 , 1992 , 1994 , 1998 ) ja ühe 15 km ( 1984 ) .|NONE
NONE
Tehnikaülikoolil|Sellest lähtuvalt ongi põhjendatud , et Tartu Ülikooli selle aasta eelarves on sõidusoodustuste summa suurenenud , Tehnikaülikoolil vähenenud .|LOC
tehnikaülikoolis|Rektori valimised korraldab tehnikaülikoolis valimiskomisjon , mille esimees on ehitusteaduskonna dekaan professor Karl Õiger .|LOC
tehnikaülikoolis|Seda , et eesti mehed pole nannipunnid , näitas tema arvates suurepäraselt tänavune tudengite rammumehevõistlus , kus võitjaga kõrvuti üritasid tiitlit napsata kuus tehnikaülikoolis õppivat noormeest .|LOC
"""tehnikaülikoolis"|""" Lehes ilmuvad uudised , esimeses numbris näiteks see , mis toimus vaheajal , samuti tulevased sündmused ja persoonilugu , "" selgitab lehe üks neljast aktiivsest tegijast Anti Palmi , kes ise õpib Tallinna tehnikaülikoolis ."|"LOC"""
tehnikaülikoolis|Ta on omandanud magistrikraadi Suurbritannia Cambridge'i ülikoolis ja saanud lõpudiplomi Tallinna tehnikaülikoolis tööstuse planeerimise erialal , mille lõpetas  cum laude  .|LOC
"""väljaõppele"|Kaitseväe juhataja käskkirjaga läks Brus 15. novembril esmalt rahuoperatsioonide keskusesse missioonieelsele väljaõppele , mille järel siirdub pooleks aastaks Iraaki .|"NONE"""
väljaõppes|Eli relvasimulaatoreid kasutavad oma väljaõppes Tšehhi , Läti ja Soome sõdurid .|NONE
väljaõppel|Kogu skandaali vältel USAs väljaõppel viibinud Andres ( Andrei ) Ambros pole juhtunut avalikult kommenteerinud .|NONE
väljaõppele|Veel nädal enne väljasõitu missioonieelsele väljaõppele puudus oktoobris Bosnias teenistust alustavatel Eesti rahuvalvesõduritel elukindlustus , kuid tänaseks on see siiski olemas .|NONE
väljaõppest|Arstide õpetus koosneb veel täiendusõppest , lisakoolitusest ja muust koolitusest , aga meie räägime arstide , see tähendab tulevaste arstide diplomieelsest väljaõppest .|NONE
linnarahvale|Tallinn korraldab Estonia kontserdisaalis linnarahvale tasuta jõulukontserdi , millel antakse ühtlasi tänukirjad linna selle aasta kuld- ja hõbesponsoritele .|NONE
linnarahvale|TALLINN , 1. aprill ( EPLO ) - Kaitsevägi näitab laupäeval Tallinnas Vabaduse väljakul seoses Eesti NATOsse astumisega linnarahvale relvastust ja varustust , esinevad orkestrid ja ansamblid .|NONE
linnarahvale|Miks ei ole eelmine linnavalitsus ja volikogu seda linnarahvale teadvustanud ?|NONE
Linnarahvast|Linnarahvast kaesid üritust vaid paar-kolm arglikku möödakäijat .|NONE
NONE
peksmisele|- Politsei sattus peale tõsisele peksmisele .|NONE
peksmisest|Daily Mirror kirjutas eile , et sõdur jutustas sõjaväepolitseile üksikasjalikult Iraagis pealt nähtud vangide peksmisest ning esitas ka peksjate nimed ja auastmed .|NONE
peksmisest|Lastehaigla arstid teatasid peksmisest noorsoopolitseile .|NONE
peksmises|Direktorit peksmises süüdistavad poisid ei teadnud öelda , kust jookseb piir , millest õpetaja ei tohiks korda rikkuvaid õpilasi talitsedes üle minna .|NONE
peksmises|Politsei pidas peksmises kahtlustatavana kinni töötu Ilja ( s. 1982 ) .|NONE
rahvusooperis|Tamperes sündinud laulja alustas Soome rahvusooperis aastal 1972.|LOC
Rahvusooperis|"Carl Orffi ooper "" Tark naine "" esietendus Rahvusooperis 14. detsembril Neeme Kuninga lavastuses ja sai väga hea vastuvõtu osaliseks nii publiku kui kriitikute poolt ."|LOC
rahvusooperist|Solistidena esinevad Pirjo Levandi ja Villu Valdmaa rahvusooperist .|LOC
Rahvusooperis|Töötab Soome Rahvusooperis kontsertmeistrina .|LOC
rahvusooperis|Nii ei saagi isegi olnud aegade baritonide põlistajad ja teemas sees olijad teada , et kusagil Viini rahvusooperis laulab näiteks Ain Anger just täna õhtul hästi salaja peaosa .|LOC
Messikeskuses|Kölni modernses ja gigantses Messikeskuses osales seekord 668 erinevat firmat ja organisatsiooni 23 riigist .|LOC
messikeskuses|IX Tallinna toidumess algab homme Eesti Näituste messikeskuses ja kestab reedeni .|LOC
Messikeskuses|Neljapäeval algab Tallinnas Eesti Näituste Messikeskuses turismimess Tourest 97 , mille avab peaminister Mart Siimann .|LOC
messikeskuses|Paar tundi enne õnnetust viibis messikeskuses vähemalt 2000 inimest , kuid varingu ajal oli seal umbes 500 inimest .|LOC
messikeskuses|Näituse “ Ahhaa , putukad ! ” avame Tartu messikeskuses 22. mail .|LOC
ühistranspordis|Tallinna Põhja politsei uurib ühistranspordis piletita reisijat seksuaalselt ahistanud piletikontrolöride käitumist , ametkondliku juurdluse juhtunu kohta on algatanud ka transpordiamet .|LOC
ühistranspordis|Tallinna ühistranspordis kehtivad lastele ühesugused soodustused , hoolimata sellest , millises Eesti otsas laps elab .|NONE
ühistranspordis|Kui ühistranspordis ja suurtes kauplustes kukub vahele ka üksiküritajaid , siis kesklinnas on piirid paigas .|NONE
ühistranspordis|Veebruarist Tallinna ühistranspordis tunnipileti kasutuselevõttu üritanud linnavalitsus püstitas uueks tähtajaks jaanipäeva .|NONE
ühistranspordist|Iga päev tabasid kontrollid ühistranspordist 4-5 võltsitud piletiga tegelast .|NONE
"""taanlastelt"|Balti klubi kutsel käis Taanis ka invaettevõtte Händikäpp Imidzh juht Tanel Joost , kes sai oma firma rajamiseks taanlastelt innustust ja emotsionaalset tuge .|"NONE"""
taanlasele|Velt kaotas võitjale , taanlasele Kim Jensenile 5,5 sekundit , teatas motorsport.ee.|NONE
"""taanlastele"|""" See loomulikult ei välista , et me õigusabipalve hiljem saame ja taanlastele abi osutame , "" lisas ülemkomissar ."|"NONE"""
NONE
Taanlasele|Taanlasele meenub euroliit siis , kui on vaja minna referendumile hääletama mõnd lepingut või euroraha .|NONE
riigieksamile|Ettevalmistuskursustel valmistasid TPÜ õppejõud riigieksamile minejaid ette kirjandi kirjutamiseks ning inglise keele ja ajaloo eksamiks .|NONE
riigieksamil|Tänavu üks õpilane kukkus matemaatika riigieksamil läbi .|NONE
riigieksamitesse|Enamik abiturientidest suhtus riigieksamitesse hästi : pärast ei tule enam teist korda pabistada .|NONE
riigieksamitel|Kui põhiteadmiste puudumine selgub alles riigieksamitel , siis sulguvad automaatselt kõrgkooli uksed ning ahenevad tulevikuväljavaated .|NONE
riigieksamitel|Traditsiooniliselt said riigieksamitel parimad punktid linna- ja eliitkoolide õpilased ( vt ka  )|NONE
söögikohtades|Mõlemad on ühtviisi ülimaitsvad ja asjatundjast kolleegi hinnangul nii head spinatit kuskil mujal Eesti söögikohtades ei pakuta .|LOC
söögikohtades|Terve nädala einestasin ainult kõige peenemates söögikohtades .|LOC
söögikohas|On teada , et ta lustis ööklubis Hollywood ja vahetult enne kojuminekut käis kogu ööpäev avatud söögikohas Tommi Grill , mis asub omaaegse ajakirjandusmaja taga .|LOC
söögikohast|Pilk sellele kohale on liigutav seni , kuni ma ei märka söögikohast kõigest paarikümne meetri kaugusel asetsevat kõrgist .|LOC
LOC
puudelt|Sajab vihma , tuul möirgab ning rebib puudelt oksi .|LOC
